Store,Aug-23,Sept-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sept-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Total,Total 2
R05-A22-Marina Cove - MP,2,2,,,1,1,2,3,,1,2,3,2,,2,1,1,1,3,,1,17,9
R05-A22-No.8 Garden - MPJ,1,2,,,3,,,,,1,,,,,,,1,,,,1,6,2
R05-A22-Oxford Road - MP,,4,,,,,,,,,,1,2,,1,,,,,1,,7,2
R05-A22-Pak Shek Kok - MP,3,,,,1,,,,,1,,,,,,,,,3,,2,2,5
R05-A22-Park Central - MP,,3,1,,1,,1,,,1,,1,,,,,,1,,,2,8,3
R05-A22-Popcorn - MP,,1,,1,1,1,,,,,1,,1,,1,,,,,,1,6,2
R05-A22-Razor Hill - MP,,,,,,,1,,,,2,,1,1,2,,1,,,2,1,4,7
R05-A22-Telford Plaza - MP,,,,,,,,2,,,,,,1,,,,,,,,2,1
R05-A22-TG Place,2,,,,,1,,1,1,,,,,,,,1,,,2,1,3,4
R05-A22-Yau Yat Chuen,1,1,1,,,,1,3,1,2,2,3,2,,3,2,,,,2,3,16,10
R05-A23-CDW Building - MPJ,2,2,2,,1,1,,2,1,2,1,2,4,2,2,3,1,2,1,,1,18,12
R05-A23-Coastal Skyline - MP,,1,,,,,,,,,,,,,,,,,,1,1,1,2
R05-A23-Discovery Bay - MP,,,,,,,,,,,,,,,,,,,,,,0,0
R05-A23-Fu Tung - MP,4,2,2,,1,1,,3,1,1,,3,2,2,,1,1,,1,3,1,16,9
R05-A23-Gold Coast - MP,,2,,1,,,,,,,,,3,1,,2,,,,1,,6,4
R05-A23-Homantin Plaza - MPJ,,,,,,,,1,1,1,,,,1,,1,,2,1,,,3,5
R05-A23-Liberte,,,,,,,1,,1,1,,2,,1,,1,,,2,1,1,5,6
R05-A23-Park Signature MP (WEHK-0500C),1,,,,,1,,,,,,,,,,1,1,,1,,,1,3
R05-A23-Riva - MP,,1,,2,,,,2,,,,1,,1,2,,,,1,2,1,6,7
R05-A23-The Visionary - MP,1,,,,,,,,,1,,,,,,,,,,,,1,0
