"Sign","term","estimate_stars","reg1(SOP...T.Area)_estimate","reg1(SOP...T.Area)_stars","reg2(productivity_sum)_estimate","reg2(productivity_sum)_stars","reg3(X2023.Turnover)_estimate","reg3(X2023.Turnover)_stars","reg4(shrinkage.....of.Sales)_estimate","reg4(shrinkage.....of.Sales)_stars","reg5(MSP_sum)_estimate","reg5(MSP_sum)_stars"
"Positive","avg_score_Q9+avg_score_Q9:clusterResidential - Western & Top Income (Upscale)","79.13***",NA,NA,NA,NA,NA,NA,NA,NA,79.13,"***"
"Positive","avg_score_Q10+avg_score_Q10:scaleUpscales","19.33***",NA,NA,NA,NA,NA,NA,NA,NA,19.33,"***"
"Positive","avg_score_Q11","1.057***",NA,NA,NA,NA,NA,NA,NA,NA,1.057,"***"
"Positive","avg_score_Q11+avg_score_Q11:clusterResidential - High Income (Wellcome)","3.509**",NA,NA,NA,NA,NA,NA,NA,NA,3.509,"**"
"Positive","avg_score_Q11+avg_score_Q11:clusterUrban Hub - Local (Wellcome)","13.568***",NA,NA,NA,NA,NA,NA,NA,NA,13.568,"***"
"Positive","avg_score_Q12","0.758**",NA,NA,NA,NA,NA,NA,NA,NA,0.758,"**"
"Positive","avg_score_Q12+avg_score_Q12:clusterResidential - High Income (Wellcome)","9.073***",NA,NA,NA,NA,NA,NA,NA,NA,9.073,"***"
"Positive","avg_score_Q12+avg_score_Q12:clusterResidential - Western & Top Income (Upscale)","85.344***",NA,NA,NA,NA,NA,NA,NA,NA,85.344,"***"
"Positive","avg_score_Q15","2.297***",NA,NA,NA,NA,NA,NA,NA,NA,2.297,"***"
"Positive","avg_score_Q15+avg_score_Q15:clusterResidential - Western & Top Income (Upscale)","35.093***",NA,NA,NA,NA,NA,NA,NA,NA,35.093,"***"
"Positive","avg_score_Q15+avg_score_Q15:clusterUrban Hub - Local (Wellcome)","0.101**",NA,NA,NA,NA,NA,NA,NA,NA,0.101,"**"
"Positive","avg_score_Q16+avg_score_Q16:scaleUpscales","63.257***",NA,NA,NA,NA,NA,NA,NA,NA,63.257,"***"
"Positive","avg_score_Q16+avg_score_Q16:clusterUrban Hub - Local (Wellcome)","11.346***",NA,NA,NA,NA,NA,NA,NA,NA,11.346,"***"
"Positive","avg_score_Q17+avg_score_Q17:scaleUpscales","35.033***",NA,NA,NA,NA,NA,NA,NA,NA,35.033,"***"
"Positive","avg_score_Q17+avg_score_Q17:clusterUrban Hub - Local (Wellcome)","1.741**",NA,NA,NA,NA,NA,NA,NA,NA,1.741,"**"
"Positive","avg_score_Q18+avg_score_Q18:clusterResidential - High Income (Wellcome)","1.751**",NA,NA,NA,NA,NA,NA,NA,NA,1.751,"**"
"Positive","avg_score_Q18+avg_score_Q18:clusterResidential - Western & Top Income (Upscale)","100.754***",NA,NA,NA,NA,NA,NA,NA,NA,100.754,"***"
"Positive","avg_score_Q19","1.163***",NA,NA,NA,NA,NA,NA,NA,NA,1.163,"***"
"Positive","avg_score_Q19+avg_score_Q19:scaleUpscales","129.117***",NA,NA,NA,NA,NA,NA,NA,NA,129.117,"***"
"Positive","avg_score_Q19+avg_score_Q19:clusterResidential - High Income (Wellcome)","4.233***",NA,NA,NA,NA,NA,NA,NA,NA,4.233,"***"
"Positive","avg_score_Q20+avg_score_Q20:scaleUpscales","87.766***",NA,NA,NA,NA,NA,NA,NA,NA,87.766,"***"
"Positive","avg_score_Q21+avg_score_Q21:clusterResidential - Western & Top Income (Upscale)","171.564***",NA,NA,NA,NA,NA,NA,NA,NA,171.564,"***"
"Positive","avg_score_Q21+avg_score_Q21:clusterUrban Hub - Local (Wellcome)","13.765***",NA,NA,NA,NA,NA,NA,NA,NA,13.765,"***"
"Positive","avg_score_Q22","1.055***",NA,NA,NA,NA,NA,NA,NA,NA,1.055,"***"
"Positive","avg_score_Q22+avg_score_Q22:clusterUrban Hub - Local (Wellcome)","7.074***",NA,NA,NA,NA,NA,NA,NA,NA,7.074,"***"
"Positive","avg_score_Q23+avg_score_Q23:clusterResidential - High Income (Wellcome)","6.006***",NA,NA,NA,NA,NA,NA,NA,NA,6.006,"***"
"Positive","avg_score_Q24+avg_score_Q24:clusterResidential - High Income (Wellcome)","2.07***",NA,NA,NA,NA,NA,NA,NA,NA,2.07,"***"
"Positive","avg_score_Q24+avg_score_Q24:clusterUrban Hub - Local (Wellcome)","10.478***",NA,NA,NA,NA,NA,NA,NA,NA,10.478,"***"
"Positive","avg_score_Q25+avg_score_Q25:clusterUrban Hub - Local (Wellcome)","25.062***",NA,NA,NA,NA,NA,NA,NA,NA,25.062,"***"
"Positive","avg_score_Q26","1.901***",NA,NA,NA,NA,NA,NA,NA,NA,1.901,"***"
"Positive","avg_score_Q26+avg_score_Q26:clusterResidential - High Income (Wellcome)","4.297**",NA,NA,NA,NA,NA,NA,NA,NA,4.297,"**"
"Positive","avg_score_Q28","0.996***",NA,NA,NA,NA,NA,NA,NA,NA,0.996,"***"
"Positive","avg_score_Q28+avg_score_Q28:clusterUrban Hub - Local (Wellcome)","3.096*",NA,NA,NA,NA,NA,NA,NA,NA,3.096,"*"
"Positive","avg_score_Q29","0.646*",NA,NA,NA,NA,NA,NA,NA,NA,0.646,"*"
